,dist,sites,pi,xsi,pi2,theta_w,fwh,tajima,t1,t2,div
10,-30501,2232155.0,0.00804328693926,0.770138883493,0.251733651508,0.00904294130188,0.00776347659322,-0.464050779166,0.010278,0.145372,0.0195904877009
92,-29501,2299783.0,0.00796807442496,0.770717109806,0.256000473439,0.0089841547162,0.00779101608786,-0.474762563273,0.010453,0.144668,0.0199301417873
120,-28501,2370787.0,0.00800220837171,0.768462365318,0.255264842299,0.00898390006273,0.00770305037761,-0.458707936984,0.010308,0.144870,0.0196719472842
143,-27501,2434860.0,0.00787016393896,0.773779040363,0.250003936619,0.00888374444983,0.00765008521791,-0.478948084188,0.010393,0.144651,0.0198385121539
43,-26501,2507969.0,0.00789562139094,0.770176200198,0.252515679122,0.00889012909036,0.00758166450139,-0.469598500257,0.010368,0.145003,0.0197941027848
15,-25501,2599394.0,0.00782910616049,0.770432527984,0.248497461103,0.00883834711116,0.00744050268154,-0.479347852949,0.010346,0.144740,0.019768454781
126,-24501,2688065.0,0.00789493166039,0.770043139427,0.254118657119,0.0089029006562,0.00766109290379,-0.475272945082,0.010336,0.145042,0.0197327834093
179,-23501,2781510.0,0.00780098617392,0.773155900143,0.253366256417,0.00884965048865,0.00762347697655,-0.497437051345,0.010326,0.144645,0.0197374786655
75,-22501,2894988.0,0.00783623100919,0.771550626642,0.250595016503,0.00883282739506,0.00755746919245,-0.473639303241,0.010317,0.145103,0.0196805675236
160,-21501,3029291.0,0.00788827102482,0.772518562752,0.254595778358,0.00890237191176,0.00772791679234,-0.478194024958,0.010293,0.144828,0.0196445282081
136,-20501,3146321.0,0.00783796794984,0.771636155648,0.251220291885,0.0088413458101,0.00762017353421,-0.476403736365,0.010308,0.144373,0.0196858503061
36,-19501,3260758.0,0.00783078496989,0.770472697542,0.25308270734,0.008823234131,0.00759789974769,-0.472182414923,0.010289,0.144510,0.0196506447136
122,-18501,3422021.0,0.00776027105804,0.770411164424,0.249716933648,0.00874119911761,0.0074515356734,-0.47108128015,0.010354,0.144099,0.0197847998542
156,-17501,3565587.0,0.00773404801303,0.769878776687,0.246945206385,0.00871193402407,0.00734574857403,-0.471198275134,0.010350,0.144072,0.0197667305925
141,-16501,3732609.0,0.00771963496508,0.769191350926,0.249302264819,0.0087137266475,0.00737956680285,-0.478908930011,0.010373,0.144671,0.0198172354546
81,-15501,3919067.0,0.00771374384448,0.768890772662,0.248360699346,0.0086752358937,0.00734070254213,-0.465259437618,0.010410,0.144170,0.0198955521707
137,-14501,4121468.0,0.00769085190034,0.76794729654,0.252078882694,0.00863567929791,0.00734576018867,-0.459290132324,0.010326,0.144469,0.019731563993
171,-13501,4374735.0,0.00774204007425,0.7670043657,0.254769351945,0.00867482920147,0.00739859513199,-0.45139231011,0.010321,0.144425,0.0197399371825
6,-12501,4654031.0,0.00764299977691,0.769778972477,0.252903187718,0.00860308292315,0.00734991257089,-0.468475325736,0.010378,0.144477,0.019829261252
82,-11501,4992635.0,0.00764863591439,0.770223641356,0.254310847861,0.00858266231331,0.00743037668401,-0.456845711996,0.010407,0.144226,0.0199051199501
135,-10501,5303492.0,0.00760237435617,0.771652981336,0.25263408893,0.00855176738081,0.0073920912409,-0.466039720076,0.010478,0.143987,0.0200377391579
1,-9501,5704012.0,0.00761314556916,0.77033461066,0.25243292694,0.00857377954151,0.00732959873189,-0.470347496005,0.010450,0.144246,0.0199657721067
29,-8501,6203644.0,0.00751058147183,0.769505764667,0.251985542344,0.00845557401756,0.00721573234421,-0.469157721264,0.010435,0.144191,0.019975515376
90,-7501,6788658.0,0.00749676267308,0.769281535872,0.252424456135,0.00842558145936,0.0072241576635,-0.462769914541,0.010561,0.144363,0.0202029614598
2,-6501,7519150.0,0.00745956657335,0.770364635945,0.252627634494,0.00839923947325,0.00720049444603,-0.469646609479,0.010528,0.144328,0.02013751311
95,-5501,8431508.0,0.00736226669373,0.770741290326,0.251421076927,0.00830758200624,0.0071062737622,-0.477679858398,0.010565,0.144911,0.020214534189
150,-4501,9746552.0,0.00729709715211,0.770889098099,0.252128550423,0.00821247958022,0.00705073707066,-0.467911397257,0.010604,0.145000,0.0202915857797
96,-3501,11784174.0,0.00725204346993,0.771680828716,0.250720258653,0.0081933291916,0.00701054916903,-0.482277497251,0.010685,0.145201,0.0204557414809
76,-2501,15118570.0,0.00711118772964,0.771234376408,0.250910464139,0.00804631147856,0.00686592590179,-0.487875214343,0.010718,0.145375,0.0205283975344
28,-1501,22563803.0,0.00706783011338,0.771798586706,0.252938182851,0.0079922675091,0.00687124921903,-0.485562037125,0.010746,0.145681,0.0205866883255
