,dist,sites,pi,xsi,pi2,theta_w,fwh,tajima,t1,t2,div
43,-2051,2550611.0,0.00820123409439,0.770736564855,0.250261334078,0.00928377645585,0.00787283852825,-0.489494201387,0.011060,0.151503,0.0210710288715
49,-1951,2723539.0,0.008181949256,0.771984739092,0.249041831325,0.00928205539754,0.00787147272613,-0.497529092999,0.010980,0.151313,0.0209334258059
70,-1851,2908236.0,0.00814923186209,0.77237562308,0.249661183964,0.00926595382868,0.00783799561753,-0.505922082768,0.010891,0.151188,0.0207720446167
57,-1751,3111610.0,0.00817631048675,0.772459254795,0.25107652429,0.00926871195679,0.00789670903602,-0.494757352197,0.010986,0.151625,0.0209380368279
97,-1651,3323947.0,0.00815837316299,0.771975552165,0.248682775312,0.00923934814723,0.00785212857238,-0.491138804079,0.011028,0.150875,0.021016580944
64,-1551,3561033.0,0.00805977248441,0.771847349495,0.248197924179,0.00918137623367,0.00770734450463,-0.512816674875,0.011011,0.150909,0.020957961038
53,-1451,3822599.0,0.00806248507061,0.771160296637,0.250200011421,0.00916212892787,0.00774539422353,-0.503833073573,0.011013,0.150766,0.0209904317934
81,-1351,4111276.0,0.00807884923011,0.771391317589,0.247556974628,0.00920131775712,0.00769412224818,-0.512101130719,0.011050,0.150989,0.0210576974903
37,-1251,4426175.0,0.00808408947609,0.77107839891,0.249780478969,0.00918135171218,0.00776905508445,-0.501690517606,0.011003,0.150483,0.0209752216627
87,-1151,4770134.0,0.00799797679743,0.771638067451,0.249434280934,0.0090945009545,0.00769047848255,-0.506141369128,0.011068,0.150594,0.0211113582977
42,-1051,5155673.0,0.00800507671738,0.772815450537,0.248099204576,0.00909726812925,0.00769448580463,-0.503988624154,0.010985,0.150787,0.0209427566519
41,-951,5562703.0,0.0079840861538,0.771894925507,0.250086367666,0.0090721459389,0.00768409107375,-0.503472911719,0.011004,0.150814,0.0209779320967
23,-851,6021731.0,0.00797329311386,0.771407804008,0.250314753138,0.00907485630183,0.00768064378495,-0.50956952254,0.011006,0.150612,0.0209791814609
66,-751,6540412.0,0.00792957128051,0.771619792253,0.248861009578,0.00903740306703,0.00758985892284,-0.514593540318,0.011025,0.150564,0.0210313971371
96,-651,7128456.0,0.00786739128804,0.774602264382,0.244366779332,0.0089786019605,0.00755940034015,-0.519543833837,0.011032,0.150420,0.0210441073394
32,-551,7804039.0,0.0078251848009,0.772058801082,0.247116457229,0.00892937808004,0.00747157945712,-0.519109218462,0.010974,0.149437,0.0209535069548
